user_id,product_id,action,timestamp
89,92,view,2026-03-21 19:31:06.335486
89,92,click,2026-03-21 19:31:36.335486
490,145,view,2026-03-21 19:35:06.335486
490,145,click,2026-03-21 19:35:20.335486
133,169,view,2026-03-21 19:39:06.335486
133,169,click,2026-03-21 19:39:26.335486
171,90,view,2026-03-21 19:42:06.335486
228,24,view,2026-03-21 19:42:06.335486
98,147,view,2026-03-21 19:55:06.335486
98,147,click,2026-03-21 19:55:34.335486
100,1,view,2026-03-21 19:59:06.335486
468,100,view,2026-03-21 20:01:06.335486
468,100,click,2026-03-21 20:01:18.335486
123,4,view,2026-03-21 20:04:06.335486
216,128,view,2026-03-21 20:04:06.335486
216,128,click,2026-03-21 20:04:59.335486
170,31,view,2026-03-21 20:05:06.335486
55,17,view,2026-03-21 20:06:06.335486
216,128,add_to_cart,2026-03-21 20:06:21.335486
26,98,view,2026-03-21 20:07:06.335486
293,126,view,2026-03-21 20:08:06.335486
26,98,click,2026-03-21 20:08:06.335486
26,98,add_to_cart,2026-03-21 20:09:20.335486
295,106,view,2026-03-21 20:11:06.335486
138,42,view,2026-03-21 20:14:06.335486
188,57,view,2026-03-21 20:14:06.335486
188,57,click,2026-03-21 20:14:48.335486
188,57,add_to_cart,2026-03-21 20:15:24.335486
122,198,view,2026-03-21 20:16:06.335486
114,154,view,2026-03-21 20:16:06.335486
26,98,purchase,2026-03-21 20:16:56.335486
473,100,view,2026-03-21 20:19:06.335486
473,100,click,2026-03-21 20:19:53.335486
401,1,view,2026-03-21 20:23:06.335486
498,36,view,2026-03-21 20:26:06.335486
455,97,view,2026-03-21 20:26:06.335486
455,97,click,2026-03-21 20:26:25.335486
455,97,wishlist,2026-03-21 20:26:52.335486
181,184,view,2026-03-21 20:29:06.335486
393,161,view,2026-03-21 20:30:06.335486
123,95,view,2026-03-21 20:30:06.335486
393,161,click,2026-03-21 20:30:24.335486
123,95,click,2026-03-21 20:30:39.335486
310,3,view,2026-03-21 20:39:06.335486
310,3,click,2026-03-21 20:39:43.335486
310,3,add_to_cart,2026-03-21 20:40:45.335486
210,169,view,2026-03-21 20:42:06.335486
253,102,view,2026-03-21 20:43:06.335486
229,109,view,2026-03-21 20:45:06.335486
264,64,view,2026-03-21 20:47:06.335486
264,64,click,2026-03-21 20:48:02.335486
107,111,view,2026-03-21 20:48:06.335486
264,64,add_to_cart,2026-03-21 20:48:46.335486
248,145,view,2026-03-21 20:51:06.335486
